"","X","Amplitude_ID","Merged_ID","Total_Events","Total_Sessions","Usage_Time","First_Seen","Last_Seen","Num_Purchases","Total_Spent","amplitude_id","user_id","carrier","city","country","device","device_type","dma","ip_address","language","library","os","paying","platform","region","start_version","version","gp.Active.Projects","gp.Collected.Daily.Artwork","gp.Push.Enabled","gp.camera_permission","gp.camera_roll_count","gp.daily_artwork_count","gp.photos_permission","gp.project_count","gp.push_enabled"
"21","V220",5917355838,"",196,7,"28 minutes","May 3rd, 2016 (UTC)","Jul 1st, 2016 (UTC)",0,"$0.00",5917355838,"CloudKit-5e65ca02e347d4007733b361ff33f7c8a80e01f821bd28a56c565613dfba5ab608aa66e67c4db54f2b4dd737a8a8ed7931b9f5ea61150a511348f318777e30d9","Verizon","Littleton","United States","Apple iPhone","Apple iPhone 6","Denver, CO","24.8.31.11","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Colorado","3.3.2","3.4.0",NA,NA,"","true",745,0,"true",7,"false"
"22","V221",5839290753,"",555,6,"an hour","Apr 29th, 2016 (UTC)","Jul 7th, 2016 (UTC)",0,"$0.00",5839290753,"CloudKit-8d48923c6e6d2019d9338e9fa04a99852b2b13db7492d41ac18a3115e975836e0caa9003c75e9ec52d5926e0a22f330a6d46df96320945e4804b91109f2ca07e","Verizon","Cambridge","United States","Apple iPhone","Apple iPhone 6s","Boston, MA-Manchester, NH","50.204.141.174","English","amplitude-ios/3.8.1","ios 9.3.1","","iOS","Massachusetts","3.3.2","3.4.0",NA,NA,"","false",1034,0,"true",25,"false"
"23","V222",8115713249,"",36,1,"2 minutes","Jul 15th, 2016 (UTC)","Jul 15th, 2016 (UTC)",0,"$0.00",8115713249,"","voda AU","Jamboree Heights","Australia","Apple iPhone","Apple iPhone 6 Plus","","58.106.133.133","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Queensland","3.5.0","3.5.0",NA,NA,"","false",3241,0,"true",11,"false"
"24","V223",6051124696,"",NA,NA,"","","",NA,"",6051124696,"CloudKit-ca3906604306d84878c4fdbac722a56ac6a34d2d6484fb09e26cec853bdfdd99d6c15d50bcf11a268f95fa7ed9c34c5e3f567fb4fe4885f75a56b4c5b17e9472","vodafone UK","Belgrade","Serbia","Apple iPhone","Apple iPhone 5s","","178.222.67.58","English","amplitude-ios/3.8.2","ios 9.3.2","true","iOS","","3.3.3","3.5.0",NA,NA,"","false",1310,1,"true",35,"false"
"25","V224",6343392034,"",115,3,"11 minutes","May 18th, 2016 (UTC)","Jul 10th, 2016 (UTC)",0,"$0.00",6343392034,"","KPN NL","Groningen","Netherlands","Apple iPhone","Apple iPhone 6 Plus","","82.95.115.41","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Groningen","3.3.3","3.4.0",NA,NA,"","false",3856,2,"true",4,"false"
"26","V225",8422967891,"",17,1,"a minute","Jul 25th, 2016 (UTC)","Jul 25th, 2016 (UTC)",0,"$0.00",8422967891,"CloudKit-5564f6db82757b4c591edd9abf928fb57ee7f60f290e537003fee5a83ac216c05e64e47c95f77511729254797aff224057a620e95d2cd7eacb7abf29726520f8","Carrier","","India","Apple iPhone","Apple iPhone 5s","","112.110.105.47","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","","3.5.1","3.5.1",NA,NA,"","false",0,0,"false",11,"false"
"27","V226",6590352502,"",3,1,"a few seconds","Feb 6th, 2016 (UTC)","Jul 16th, 2016 (UTC)",0,"$0.00",6590352502,"CloudKit-12a3375f5841e7e3f28e3ad558c89a4f2d82d487880e95db8c7e23ff810269602ef5c245b50d51a3716f9d8525e0f2932dc2f2253fb4d5c11d35b0e1f4dafeb9","","Redlands","United States","Apple iPad","Apple iPad Air 2","Los Angeles, CA","206.169.121.145","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","California","","3.5.0",NA,NA,"","true",1900,0,"true",20,"false"
"28","V227",5865949381,"7480147002, 6026412349",1995,55,"3 hours","Apr 30th, 2016 (UTC)","Jul 23rd, 2016 (UTC)",1,"$2.99",5865949381,"CloudKit-20db783bb16d09869925489cd70040d8272df879de4d92e17c1c34160d331176fd7ce3d9d67602021447ec0f315badd16f8ed31eaf209020cab201b8f31f3ca8","Sprint","Salt Lake City","United States","Apple iPhone","Apple iPhone 6s","Salt Lake City, UT","66.87.126.193","English","amplitude-ios/3.8.2","ios 9.3.2","true","iOS","Utah","3.3.2","3.5.1",NA,NA,"","true",2296,0,"true",25,"false"
"29","V228",5890446991,"",1218,23,"2 hours","May 1st, 2016 (UTC)","Jul 8th, 2016 (UTC)",0,"$0.00",5890446991,"CloudKit-8bdf7aa4242947cd0473f406560cec47c8518bbd8082408bb79d70a4c45dca3e6adf835c42e5e0a29d55b053419e2a9767bd4e1972cb7cc0c64cd002c6564d73","Family Mobile","Albuquerque","United States","Apple iPhone","Apple iPhone 6","Albuquerque-Santa Fe, NM","75.161.41.104","English","amplitude-ios/3.7.0","ios 9.2.1","","iOS","New Mexico","3.3.2","3.3.3",NA,NA,"","true",731,1,"true",19,"false"
"30","V229",7334507129,"",35,4,"6 minutes","Jun 19th, 2016 (UTC)","Jul 15th, 2016 (UTC)",0,"$0.00",7334507129,"CloudKit-03aec41ba96448fac788d0ad081c8759f3d0438662312599cda4c99b1b8f82e0cd5a28ceff0d64f0a75da7ca5fbc8ab41f9263eecfd39bd240dee5e2e84ea040","Telenor","Ringoen","Sweden","Apple iPhone","Apple iPhone 6 Plus","","83.248.217.226","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Västra Götaland","3.3.3","3.4.0",NA,NA,"","false",4612,0,"true",1,"false"
"31","V230",6183563930,"",241,12,"26 minutes","May 12th, 2016 (UTC)","Jul 17th, 2016 (UTC)",1,"$2.99",6183563930,"CloudKit-db3043179937c3a54eec46ee16f6fb210744fc01bbd05509096651a36f4429210474a8dddc071ddd5516bb2e0e6b0977c83a5b6b1b466d0ee35ec391e938bf68","Verizon","Marina","United States","Apple iPhone","Apple iPhone 6s Plus","Monterey-Salinas, CA","50.185.13.249","English","amplitude-ios/3.8.2","ios 9.3.2","true","iOS","California","3.3.3","3.5.0",NA,NA,"","false",329,0,"true",15,"false"
"32","V231",7883415992,"",46,2,"2 minutes","Jun 20th, 2016 (UTC)","Jul 7th, 2016 (UTC)",0,"$0.00",7883415992,"91A0884B-A88F-41CE-90E6-75D79CF61FCE","台湾大哥大","","Taiwan","Apple iPhone","Apple iPhone 6","","180.204.97.187","Chinese","amplitude-ios/3.8.1","ios 9.2.1","","iOS","","3.3.3","3.4.0",NA,NA,"","false",1377,0,"true",1,"true"
"33","V232",7551368122,"",11,1,"a few seconds","Jun 26th, 2016 (UTC)","Jun 26th, 2016 (UTC)",0,"$0.00",7551368122,"CloudKit-268112e96698a6a4cc22c66aa8e1e244c057bf87566cf0d04b8e44e6f427ce4037f726667cec49ea98e0a99cbee81981bb2477728137cf8a044dbe29431adfdb","Verizon","Greenville","United States","Apple iPhone","Apple iPhone 6s","Greenville-Spartanburg, SC","165.166.79.138","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","South Carolina","3.3.3","3.3.3",NA,NA,"","false",1650,0,"true",1,"false"
"34","V233",5819949726,"",NA,NA,"","","",NA,"",5819949726,"CloudKit-30fbed2c6383b10c650a7e49a6e8ad059f372295a315c76def5b544d54c606106b9f573028a1ed3458fc0ec8fe559a6e7999c355a450e3dc92227e585e055557","EE","Harlow","United Kingdom","Apple iPhone","Apple iPhone 6s","","81.99.74.209","English","amplitude-ios/3.8.2","ios 10.0","true","iOS","Essex","3.3.2","3.5.1",NA,NA,"","true",23480,368,"true",158,"true"
"35","V234",6127026622,"",1266,14,"an hour","May 11th, 2016 (UTC)","Jul 16th, 2016 (UTC)",0,"$0.00",6127026622,"CloudKit-feb5be384056710e34728d0f252fc379cff9a3b06672a130bf070a4e54ac6f12e5bf9e77c215050e4985e7ffd32ab6d75e7eef6af69309a74497e1ff3dc9a6b9","TIGO","San Miguel","El Salvador","Apple iPhone","Apple iPhone 6 Plus","","190.86.61.58","Spanish","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Departamento de San Miguel","3.3.3","3.5.0",NA,NA,"","false",3845,0,"true",22,"true"
"36","V235",8272405126,"",2,1,"a few seconds","Jul 20th, 2016 (UTC)","Jul 20th, 2016 (UTC)",0,"$0.00",8272405126,"","","La Seyne-sur-Mer","France","Apple iPad","Apple iPad 4","","86.241.145.144","French","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Var","3.5.1","3.5.1",NA,NA,"","false",241,0,"true",11,"false"
"37","V236",5806826169,"",1096,35,"an hour","Apr 28th, 2016 (UTC)","Jun 30th, 2016 (UTC)",0,"$0.00",5806826169,"CloudKit-750286641171ce03fe7f215201a06136a09591fc74a1783ff7bc205ca31dd6d7d2758bc91cc84c660f97c5b5dd1d684ea0e7f06c15258c5be215aa8667bb0cb2","Verizon","Raleigh","United States","Apple iPhone","Apple iPhone 6s","Raleigh-Durham (Fayetteville), NC","172.127.21.233","English","amplitude-ios/3.7.0","ios 9.3.2","","iOS","North Carolina","3.3.2","3.3.3",NA,NA,"","false",1152,0,"true",12,"false"
"38","V237",6279952915,"",242,7,"36 minutes","Apr 21st, 2016 (UTC)","Jul 1st, 2016 (UTC)",0,"$0.00",6279952915,"CloudKit-cab9b8b18cb3d61e8e8435c36707630631d51e4d19c408fe7b58cf0c7bdbfaf640cb64d4cc4c9bf45add0aec6e2dd6873abc0c87737ba2142e4cd8277f317676","","Athens","Greece","Apple iPad","Apple iPad Mini 2","","213.16.164.102","Greek","amplitude-ios/3.7.0","ios 9.0.1","","iOS","Attica","3.3.1","3.3.3",4,NA,"true","true",976,3,"true",8,"true"
"39","V238",8115146305,"",2,1,"a few seconds","Jul 15th, 2016 (UTC)","Jul 15th, 2016 (UTC)",0,"$0.00",8115146305,"","","Mula","Spain","Apple iPad","Apple iPad Mini 2","","194.220.108.150","Spanish","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Murcia","3.5.0","3.5.0",NA,NA,"","false",0,0,"false",11,"false"
"40","V239",5802985562,"",3226,101,"5 hours","Apr 28th, 2016 (UTC)","Jul 20th, 2016 (UTC)",0,"$0.00",5802985562,"CloudKit-b9a93338e88f9e1f70aad06480d1363fa4edb3274b6b9cfa7292d5ff8530226a135afe2103403f4c85bc8760171f848aafa5cde2f09adb2452f9cab54324bad3","T-Mobile","Salt Lake City","United States","Apple iPhone","Apple iPhone 5","Salt Lake City, UT","24.11.7.108","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Utah","3.3.2","3.5.1",NA,NA,"","true",19218,0,"true",38,"false"
"41","V240",6594165154,"",9,3,"a few seconds","Mar 6th, 2016 (UTC)","Jul 15th, 2016 (UTC)",0,"$0.00",6594165154,"CloudKit-191a68d1ee3a3e47e52e7258095be198d4de1e0c9f0a4470739608d5da51237a925bee7ecf7e0e04e467878523fb9b896fe9cb75109aa175e3783973a6cd05e5","dtac","Bangkok","Thailand","Apple iPhone","Apple iPhone 6","","1.47.106.138","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Bangkok","","3.4.0",NA,NA,"","false",2032,2,"true",1,"false"
"42","V241",8331660823,"",52,1,"4 minutes","Jul 22nd, 2016 (UTC)","Jul 22nd, 2016 (UTC)",0,"$0.00",8331660823,"","Verizon","Rockville Centre","United States","Apple iPhone","Apple iPhone 6s","New York, NY","100.37.215.37","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","New York","3.5.1","3.5.1",NA,NA,"","false",1422,0,"true",12,"false"
"43","V242",7577817278,"",20,4,"a minute","Jun 27th, 2016 (UTC)","Jun 28th, 2016 (UTC)",0,"$0.00",7577817278,"","Verizon","Las Vegas","United States","Apple iPhone","Apple iPhone 5","Las Vegas, NV","208.115.90.194","English","amplitude-ios/3.7.0","ios 8.3","","iOS","Nevada","3.3.3","3.3.3",NA,NA,"","false",618,0,"true",0,"false"
"44","V243",7626058054,"",51,2,"9 minutes","Jun 28th, 2016 (UTC)","Jun 29th, 2016 (UTC)",0,"$0.00",7626058054,"CloudKit-6318a02573222c58084e04e0892278f30aefce01fe4f75c3d6e38129102070668fabe2a380221d2da2efc948a756014d3f238dff3ae3b3e42d0033098b15a364","AT&T","","United States","Apple iPhone","Apple iPhone 6","","107.77.213.131","English","amplitude-ios/3.7.0","ios 9.3.3","","iOS","California","3.3.3","3.3.3",NA,NA,"","false",13218,0,"true",1,"false"
"45","V244",7967656370,"",439,3,"an hour","Jul 10th, 2016 (UTC)","Jul 24th, 2016 (UTC)",0,"$0.00",7967656370,"CloudKit-11e0847408f13fd85a0845e999aed7cfa20a5dbacb8aa2ba858fe76cd1d03a899d4663a5bd850051cf68585d76639c29eb2d1bf0d4df268dbc3a0447a2084f66","o2-de","","Germany","Apple iPhone","Apple iPhone 6","","87.135.19.182","German","amplitude-ios/3.8.2","ios 9.3.2","","iOS","","3.4.0","3.5.1",NA,NA,"","false",2348,1,"true",13,"false"
"46","V245",5932258155,"",351,20,"an hour","Apr 17th, 2016 (UTC)","Jul 8th, 2016 (UTC)",0,"$0.00",5932258155,"CloudKit-62477e08c37b1c6196f78b22961ec9742316970d0efe12f3273be321fe396fc5f820dfc9230bccee951e3c18fca5c2fbe714196eb9a920d63323e3287249211c","T-Mobile","","United States","Apple iPad","Apple iPad Air 2","","172.56.28.66","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Pennsylvania","3.3.2","3.4.0",15,NA,"","false",4686,0,"true",25,"true"
"47","V246",7688812617,"",12,1,"a few seconds","Jun 30th, 2016 (UTC)","Jun 30th, 2016 (UTC)",0,"$0.00",7688812617,"CloudKit-057aa78e456dd0ff5ef4d3fb76ccd9d9654279fa94ba645eb98fb7e86555d6809ed115683fffef080f20fdf309e7f48a0ba89e20a202de073f99828624c54d1f","中華電信","Taipei","Taiwan","Apple iPhone","Apple iPhone 5","","223.138.194.44","Chinese","amplitude-ios/3.7.0","ios 9.3.1","","iOS","","3.3.3","3.3.3",NA,NA,"","false",1589,0,"true",0,"false"
"48","V247",5955299629,"",NA,NA,"","","",NA,"",5955299629,"CloudKit-22656a09db9a7158be34c8b1becd6badcc130222169ca7ce2f3e89c8783bc56cc764be1ad0219fc2fc9236c11773a62e3c5396187bc5d01db492f9d2e1181617","Verizon","Dothan","United States","Apple iPhone","Apple iPhone 6s","Dothan, AL","70.193.96.199","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Alabama","3.2.5","3.4.0",4,NA,"false","true",149,0,"true",34,"false"
"49","V248",6594353289,"7978016936",70,2,"18 minutes","Feb 11th, 2016 (UTC)","Jul 11th, 2016 (UTC)",0,"$0.00",6594353289,"CloudKit-15b7fa78c984dd3ce97daa05febf27368178d56978cc1218a36315859a8efb6a93ed02e30e64e6b10d128a36d9268bfedabd1c4015f30adf14f4329a682c84bf","VIVA","","Bahrain","Apple iPhone","Apple iPhone 6","","95.84.67.133","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","","","3.4.0",NA,NA,"","false",3759,0,"true",3,"false"
"50","V249",6144855498,"",600,21,"an hour","May 11th, 2016 (UTC)","Jul 17th, 2016 (UTC)",0,"$0.00",6144855498,"CloudKit-38b1553d6b08b95eadbcb342b533e4a3d9dfbe1759d4f09ad0939ab72dc7221b0aa5928ff8288da36fdd6b0244d8380cbacfea4b484692fa0440821d6debb880","","Hamilton","Canada","Apple iPod","Apple iPod Touch 5G","","24.141.135.94","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Ontario","3.3.3","3.5.0",NA,NA,"","true",210,22,"true",28,"false"
"51","V250",7797774059,"",34,1,"4 minutes","Jul 4th, 2016 (UTC)","Jul 4th, 2016 (UTC)",0,"$0.00",7797774059,"CloudKit-275e6fc2facb326ec23f02746580e29306ef4c5a237bd62594c4a5bac870a9ed7a24d0295f57acb75793bd6ad2242c4dd0e95bdc3a09383dda1137ef10d194ad","MegaFon","Saint Petersburg","Russia","Apple iPad","Apple iPad 4","","93.100.140.138","Russian","amplitude-ios/3.8.1","ios 9.3.2","","iOS","St.-Petersburg","3.4.0","3.4.0",NA,NA,"","true",520,0,"true",1,"false"
"52","V251",8048361140,"8147579371",47,2,"4 minutes","Jul 13th, 2016 (UTC)","Jul 16th, 2016 (UTC)",0,"$0.00",8048361140,"CloudKit-d748dc54d1280f110c4ec14e7f27bed06ed4c6750c7bcf07d68d825ebf5d33a88ef26636679272e2f899eef6aaa9530f5ee7a2db05a0f5d93ff2dc49b0bf4b0d","vodafone IE","El Burgo de Osma","Spain","Apple iPhone","Apple iPhone 6s Plus","","212.163.6.22","English","amplitude-ios/3.8.2","ios 9.3.2","","iOS","Soria","3.4.0","3.5.0",NA,NA,"","false",826,0,"true",0,"false"
"53","V252",7937098579,"",1,1,"a few seconds","Jul 9th, 2016 (UTC)","Jul 9th, 2016 (UTC)",0,"$0.00",7937098579,"","Maxis","Sibu","Malaysia","Apple iPad","Apple iPad Mini 2","","124.82.108.121","English","amplitude-ios/3.8.1","ios 9.3.2","","iOS","Sarawak","3.4.0","3.4.0",NA,NA,"","false",1167,0,"true",0,"true"
